case_id,horizon,initialization,found,best_found_rho,optimizer_status,total_ms,fk_calls,jacobian_calls,run_file
state_14_candidate_01,30,dls_prediction,True,0.11543093167491977,9,1814.932991,3540,3060,runs/state_14_candidate_01_L30_dls_prediction.json
case_01_matched_03,5,hold,True,0.34859409314756634,0,96.306433,440,315,runs/case_01_matched_03_L5_hold.json
case_01_matched_03,5,historical_prefix,True,0.34859409314756634,0,96.543596,440,315,runs/case_01_matched_03_L5_historical_prefix.json
case_01_matched_03,5,dls_prediction,True,0.348594093218972,0,71.253953,366,222,runs/case_01_matched_03_L5_dls_prediction.json
state_14_candidate_01,10,hold,True,0.09925072188376405,0,163.047744,550,480,runs/state_14_candidate_01_L10_hold.json
state_14_candidate_01,10,historical_prefix,True,0.09925072186816081,0,181.582733,600,510,runs/state_14_candidate_01_L10_historical_prefix.json
state_14_candidate_01,10,dls_prediction,True,0.09925072186912744,0,138.782936,510,400,runs/state_14_candidate_01_L10_dls_prediction.json
state_14_candidate_00,1,hold,True,0.06388471731624085,8,5.445829,28,9,runs/state_14_candidate_00_L1_hold.json
state_14_candidate_00,1,historical_prefix,True,0.06388471735073414,0,3.934609,16,9,runs/state_14_candidate_00_L1_historical_prefix.json
state_14_candidate_00,1,dls_prediction,True,0.1091124283595889,8,3.879875,17,9,runs/state_14_candidate_00_L1_dls_prediction.json
state_18_candidate_01,1,hold,True,0.10275552199928452,0,4.76129,20,12,runs/state_18_candidate_01_L1_hold.json
state_18_candidate_01,1,historical_prefix,True,0.102755522091871,0,5.627669,23,15,runs/state_18_candidate_01_L1_historical_prefix.json
state_18_candidate_01,1,dls_prediction,True,0.10275552206475712,0,6.137566,27,15,runs/state_18_candidate_01_L1_dls_prediction.json
state_14_candidate_03,30,hold,False,,9,1661.417592,3180,3030,runs/state_14_candidate_03_L30_hold.json
state_14_candidate_03,30,historical_prefix,True,0.2967443849191039,9,1980.51681,3240,3030,runs/state_14_candidate_03_L30_historical_prefix.json
state_14_candidate_03,30,dls_prediction,True,0.11775520552936146,9,1752.349094,3570,3060,runs/state_14_candidate_03_L30_dls_prediction.json
case_01_matched_02,30,hold,False,,9,1569.502237,5400,3030,runs/case_01_matched_02_L30_hold.json
case_01_matched_02,30,historical_prefix,True,0.32350912662177495,0,627.777498,1920,1500,runs/case_01_matched_02_L30_historical_prefix.json
case_01_matched_02,30,dls_prediction,True,0.3235091265482893,0,590.41838,1728,1404,runs/case_01_matched_02_L30_dls_prediction.json
state_18_candidate_00,30,hold,False,,9,1836.133277,3180,3030,runs/state_18_candidate_00_L30_hold.json
state_18_candidate_00,30,historical_prefix,False,,9,1463.255185,6690,3030,runs/state_18_candidate_00_L30_historical_prefix.json
state_18_candidate_00,30,dls_prediction,False,,9,1991.760687,3347,3095,runs/state_18_candidate_00_L30_dls_prediction.json
state_08_candidate_04,10,hold,True,0.19692916162710225,0,242.105946,780,710,runs/state_08_candidate_04_L10_hold.json
state_08_candidate_04,10,historical_prefix,True,0.1969291616473409,0,227.50541,770,690,runs/state_08_candidate_04_L10_historical_prefix.json
state_08_candidate_04,10,dls_prediction,True,0.19692916162631285,0,223.56751,770,670,runs/state_08_candidate_04_L10_dls_prediction.json
state_14_candidate_04,30,hold,False,,9,1988.801069,3180,3030,runs/state_14_candidate_04_L30_hold.json
state_14_candidate_04,30,historical_prefix,False,,9,2177.415044,3150,3030,runs/state_14_candidate_04_L30_historical_prefix.json
state_14_candidate_04,30,dls_prediction,True,0.10714511083725738,9,2095.93742,3570,3060,runs/state_14_candidate_04_L30_dls_prediction.json
state_18_candidate_00,10,hold,True,0.126819485009298,0,190.6464,620,550,runs/state_18_candidate_00_L10_hold.json
