robot,cohort,group,method,uid,unique_qps,kernel_ns,return_ns,total_ns,all_quality_pass
panda,targeted,all,qpoases,98aff3582a84a6146748002550a34794014c19c6a94d633ebdfdfefa61217699,39,2893.876923076923,12801.220512820513,56847.05641025641,True
panda,targeted,all,qpoases,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,303,2835.0026402640265,12234.881188118812,56215.293729372934,True
panda,targeted,all,qpoases,3a59b93a4c9e9c6b108b10e05344815f47411a6ce98c5ae4e2ed358ddc1d7440,10,5656.42,14848.38,59754.18,True
panda,targeted,all,qpoases,76723c8484a05a7bc2bff4047708ad396e6759dff58cd347e4b36eeb1bdedfd0,2,14384.6,24622.8,71088.4,True
panda,targeted,all,qpoases,4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da,303,2745.866666666667,12307.553795379537,56487.01716171617,True
panda,targeted,all,qpoases,9289844cd619fe3c022d910841ace12e165e07777f181c72cc2a1aec1da2e3fb,3,11142.933333333332,20792.0,65617.66666666667,True
panda,targeted,all,qpoases,9408a6fe715e7be47720924bb6ceeff40609fd34a88003747eb1e71abe1a9a2f,2,12110.5,21964.8,67829.4,True
panda,targeted,all,qpoases,700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062,302,2827.4450331125827,12224.643708609272,56294.72582781457,True
panda,targeted,all,qpoases,2cd27cc14429c5bb9961620d46292e849640359e5072de88384099e723596b3b,1,21412.2,32068.8,77369.4,True
panda,targeted,internal_set_change,active_numpy,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,22,101725.22727272728,102051.56363636363,149684.5181818182,True
panda,targeted,internal_set_change,active_numpy,1085f3e04aaffe00c129d91100b2cf03f3de069fa72a1f43ac92c05905fe372d,4,49294.75,49574.6,95848.35,True
panda,targeted,internal_set_change,active_numpy,79076cd9aa84b436fcbb836548e693b733aa35a2d7be5ccd28163e80bd3fcb82,15,44650.706666666665,44898.50666666667,90997.96,True
panda,targeted,internal_set_change,active_numpy,9e7027908956f6feea8630c453988b56b38fb5654bc6494312db6fec4fe6e93e,4,45295.0,45595.4,91775.85,True
panda,targeted,internal_set_change,active_numpy,f273e2cf840747e85e3dc4a774925882a9057bc0672355948aab35c0de41c7d8,1,44775.8,45310.8,92127.0,True
panda,targeted,internal_set_change,active_numpy,d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c,1,44947.2,45429.4,91464.0,True
panda,targeted,internal_set_change,active_numpy,a32f076fd84a50b0746febbd023dfac09cce4d08b2e19b8eee9393caa4f35a24,3,44995.2,45325.86666666667,91050.26666666666,True
panda,targeted,internal_set_change,active_numpy,39418c26c7c0ee7720f0a16e2b5930a336a74379ed31dd975416d5d9ab5766b1,4,45097.65,45364.1,91509.85,True
panda,targeted,internal_set_change,active_numpy,d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663,43,74701.93023255814,74974.6511627907,121491.61395348837,True
panda,targeted,internal_set_change,active_numpy,a4757ca54027f468f26f705c836838ae45f57658e775c4c60a7395323f3fb346,5,51324.2,51595.52,97880.28,True
panda,targeted,internal_set_change,active_numpy,1b1432b684aef0b401c66b39b447aa074258ccfbe4d804811e9c02688243235a,2,45727.2,46123.7,92181.2,True
panda,targeted,internal_set_change,active_numpy,6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100,30,82652.50666666667,82969.96666666666,129422.2,True
panda,targeted,internal_set_change,active_numpy,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,9,60702.666666666664,60960.37777777778,107288.88888888889,True
panda,targeted,internal_set_change,active_numpy,98aff3582a84a6146748002550a34794014c19c6a94d633ebdfdfefa61217699,2,45873.3,46250.9,92705.4,True
panda,targeted,internal_set_change,active_numpy,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,56,59038.860714285714,59295.514285714286,105463.16071428571,True
panda,targeted,internal_set_change,active_numpy,3a59b93a4c9e9c6b108b10e05344815f47411a6ce98c5ae4e2ed358ddc1d7440,2,46389.6,46753.0,92685.5,True
panda,targeted,internal_set_change,active_numpy,76723c8484a05a7bc2bff4047708ad396e6759dff58cd347e4b36eeb1bdedfd0,2,51824.6,52225.1,98331.8,True
panda,targeted,internal_set_change,active_numpy,4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da,43,84353.95813953488,84632.53953488372,131224.0,True
